id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5158797,Twin Bedroom in Victorian home with en suite,17746047,Christopher,Stockport,Stockport District,53.4208,-2.18235,Private room,50,1,60,2022-12-11,0.63,3,251,14,
5190046,"Near city centre  - clean, comfortable double room",26845522,Andrea,Trafford,Trafford District,53.4673,-2.26508,Private room,31,7,87,2022-07-01,0.92,1,0,8,
5247804,Lovely Family Home,7691062,Jo,Manchester,Didsbury East,53.41158,-2.22423,Private room,35,2,75,2022-12-17,0.79,1,168,25,
5297243,"Spacious, Light & Cosy 2 Bed/2 Bathroom Apartment",6792001,Tina,Manchester,Whalley Range,53.45588,-2.26046,Entire home/apt,159,2,3,2021-09-12,0.07,3,179,0,
5394862,Two double Rooms in outstanding Victorian House,12089397,Yvonne,Tameside,Tameside District,53.44395,-2.07218,Private room,90,1,45,2022-12-11,0.48,2,345,4,
5541034,Friendly house in a great location,28733141,Fiona,Manchester,Chorlton,53.43916,-2.28618,Private room,38,2,57,2022-06-24,0.64,2,0,7,
5544185,Manchester City Centre 2 Bedroom Apartment,26836949,Nick,Manchester,City Centre,53.47504,-2.25268,Entire home/apt,140,7,4,2022-06-22,0.06,7,356,1,
5544328,Manchester City West 2 Bedroom Apartment,26836949,Nick,Salford,Salford District,53.48523,-2.25461,Entire home/apt,129,7,14,2022-05-09,0.15,7,349,2,
5571927,Very clean apt suitable for long-stay with Parking,28878088,John,Manchester,Miles Platting and Newton Heath,53.48996,-2.21432,Entire home/apt,71,3,120,2020-03-06,1.68,1,0,0,
5584153,"Delph, Saddleworth  Entire Waterside apartment",27624201,Anne And Phil,Oldham,Oldham District,53.56833,-2.02402,Entire home/apt,87,2,128,2022-10-14,1.56,2,349,24,
5590149,Studio apartment Didsbury,3956480,Eric,Manchester,Didsbury East,53.42064,-2.22505,Entire home/apt,33,2,469,2021-11-03,4.94,2,0,0,
5599069,Central Stockport,29029492,Oriana,Stockport,Stockport District,53.40098,-2.15891,Private room,45,2,24,2022-11-20,0.28,2,362,8,
5682924,"Close to Salford Quays, City Centre & Salford Uni",27581831,Hélio,Salford,Salford District,53.49261,-2.28596,Private room,45,1,78,2022-09-17,0.98,4,209,10,
5764014,"Large room between Old Trafford, BBC & City centre",13594115,Laurence,Trafford,Trafford District,53.45642,-2.26759,Private room,37,4,76,2022-07-08,0.81,2,81,2,
5777658,Spacious Attic Room in a beautiful period property,5669235,Sally,Bury,Bury District,53.64423,-2.32143,Private room,55,2,22,2022-12-12,0.38,2,154,10,
5789718,"WOMEN ONLY Comfortable double room, well located.",29980011,Jo,Manchester,Moss Side,53.45222,-2.24316,Private room,20,1,168,2022-12-11,2.14,1,307,23,
5865430,"""Cart Shed Cottage""",30456673,Nigel,Rochdale,Rochdale District,53.61984,-2.09864,Entire home/apt,60,2,50,2022-11-21,0.90,1,345,30,
5883738,Close to PICCADILLY STATION 2 bedroom 2 bathroom,2384053,P&O Serviced,Manchester,Bradford,53.48216,-2.2201,Entire home/apt,80,3,62,2020-03-12,0.66,2,243,0,
5983345,"Quirky 2 bedroom, city centre flat",6129683,Thea,Manchester,Cheetham,53.49128,-2.2407,Entire home/apt,130,1,15,2022-11-06,0.16,1,0,10,
6010502,"Bright, Light and Calm Two Bedroom Townhouse, M33",6766640,Amy,Trafford,Trafford District,53.42623,-2.33522,Entire home/apt,125,3,11,2022-10-31,0.33,3,39,5,
6081027,Pet Friendly Garden Apartment in Sale. Manchester,17136758,Mike,Trafford,Trafford District,53.423,-2.31188,Entire home/apt,99,7,51,2022-10-08,0.55,10,291,5,
6172921,"Beautiful big rm convenient Uni, City and Christie",32026858,Wendy,Manchester,Didsbury West,53.42331,-2.23453,Private room,52,1,245,2020-02-16,3.10,1,0,0,
6191116,Pet Friendly Studio for 1 or 2 in Sale. Manchester,17136758,Mike,Trafford,Trafford District,53.42316,-2.31335,Entire home/apt,79,7,67,2022-10-22,0.77,10,337,2,
6330967,"Room with a view, very handy for MAN Airport",32954691,G Barry,Trafford,Trafford District,53.41678,-2.3107,Private room,60,1,3,2022-03-23,0.03,3,85,1,
6333392,"Brooklands, 10 minutes from MAN Airport",32954691,G Barry,Trafford,Trafford District,53.41533,-2.31015,Entire home/apt,226,2,84,2022-11-28,0.92,3,163,15,
6374786,Modern funky terrace not far from Manchester,33205538,Perry,Manchester,Gorton South,53.44173,-2.182,Entire home/apt,110,2,161,2022-02-04,1.78,1,0,1,
6414452,Modern Room 15 Minute Walk to Deansgate / City Ctr,1948933,Graham,Salford,Salford District,53.49299,-2.26091,Private room,45,2,256,2022-12-23,2.78,1,77,30,
6475532,Female only Cosy double room,33829973,Amy,Manchester,Chorlton Park,53.42531,-2.26448,Private room,26,2,14,2022-12-11,0.16,1,5,13,
6550407,Simister Views,34260818,Margaret,Bury,Bury District,53.55035,-2.24329,Entire home/apt,48,2,248,2022-12-04,2.70,1,54,20,
6581958,Spacious couch in front room,33545947,Anthony,Bury,Bury District,53.53432,-2.27008,Private room,60,3,4,2019-06-10,0.04,1,209,0,
6612375,"Dairy Cottage, Delph, Saddleworth.",34602133,Jane,Oldham,Oldham District,53.56684,-2.02456,Entire home/apt,84,1,459,2022-12-21,5.04,1,342,95,
